"","StepCount","Algorithm","MazeSize","WallChanges"
"168",54,"Manhattan","Small","Small"
"169",86,"Manhattan","Small","Small"
"170",70,"Manhattan","Small","Small"
"171",80,"Manhattan","Small","Small"
"172",32,"Manhattan","Small","Small"
"173",84,"Manhattan","Small","Small"
"174",76,"Manhattan","Small","Small"
"175",198,"Manhattan","Small","Small"
"176",216,"Manhattan","Small","Small"
"177",124,"Manhattan","Small","Small"
"178",102,"Manhattan","Small","Small"
"179",64,"Manhattan","Small","Small"
"180",112,"Manhattan","Small","Small"
"181",110,"Manhattan","Small","Small"
"182",84,"Manhattan","Small","Small"
"183",80,"Manhattan","Small","Small"
"184",40,"Manhattan","Small","Small"
"185",58,"Manhattan","Small","Small"
"186",90,"Manhattan","Small","Small"
"187",98,"Manhattan","Small","Small"
"188",54,"Manhattan","Small","Small"
"189",162,"Manhattan","Small","Small"
"190",158,"Manhattan","Small","Small"
"191",32,"Manhattan","Small","Small"
"192",94,"Manhattan","Small","Small"
"193",70,"Manhattan","Small","Small"
"194",50,"Manhattan","Small","Small"
"195",42,"Manhattan","Small","Small"
"196",52,"Manhattan","Small","Small"
"197",46,"Manhattan","Small","Small"
"198",146,"Manhattan","Small","Small"
"199",52,"Manhattan","Small","Small"
"200",90,"Manhattan","Small","Small"
"201",98,"Manhattan","Small","Small"
"202",58,"Manhattan","Small","Small"
"203",102,"Manhattan","Small","Small"
"204",146,"Manhattan","Small","Small"
"205",26,"Manhattan","Small","Small"
"206",42,"Manhattan","Small","Small"
"207",46,"Manhattan","Small","Small"
"208",108,"Manhattan","Small","Small"
"209",152,"Manhattan","Small","Small"
"210",50,"Manhattan","Small","Small"
"211",48,"Manhattan","Small","Small"
"212",86,"Manhattan","Small","Small"
"213",52,"Manhattan","Small","Small"
"214",50,"Manhattan","Small","Small"
"215",58,"Manhattan","Small","Small"
"216",118,"Manhattan","Small","Small"
"217",46,"Manhattan","Small","Small"
"218",248,"Manhattan","Small","Small"
"219",116,"Manhattan","Small","Small"
"220",72,"Manhattan","Small","Small"
"221",64,"Manhattan","Small","Small"
"222",76,"Manhattan","Small","Small"
"223",48,"Manhattan","Small","Small"
"224",134,"Manhattan","Small","Small"
"225",62,"Manhattan","Small","Small"
"226",42,"Manhattan","Small","Small"
"227",72,"Manhattan","Small","Small"
"228",166,"Manhattan","Small","Small"
"229",112,"Manhattan","Small","Small"
"230",36,"Manhattan","Small","Small"
"231",60,"Manhattan","Small","Small"
"232",144,"Manhattan","Small","Small"
"233",216,"Manhattan","Small","Small"
"234",56,"Manhattan","Small","Small"
"235",54,"Manhattan","Small","Small"
"236",30,"Manhattan","Small","Small"
"237",90,"Manhattan","Small","Small"
"238",86,"Manhattan","Small","Small"
"239",140,"Manhattan","Small","Small"
"240",94,"Manhattan","Small","Small"
"241",68,"Manhattan","Small","Small"
"242",130,"Manhattan","Small","Small"
"243",32,"Manhattan","Small","Small"
"244",236,"Manhattan","Small","Small"
"245",116,"Manhattan","Small","Small"
"246",126,"Manhattan","Small","Small"
"247",48,"Manhattan","Small","Small"
"248",112,"Manhattan","Small","Small"
"249",118,"Manhattan","Small","Small"
"250",248,"Manhattan","Small","Small"
"251",222,"Manhattan","Small","Small"
"252",152,"Manhattan","Small","Small"
"253",132,"Manhattan","Small","Small"
"254",36,"Manhattan","Small","Small"
"255",94,"Manhattan","Small","Small"
"256",32,"Manhattan","Small","Small"
"257",80,"Manhattan","Small","Small"
"258",60,"Manhattan","Small","Small"
"259",112,"Manhattan","Small","Small"
"260",26,"Manhattan","Small","Small"
"261",126,"Manhattan","Small","Small"
"262",28,"Manhattan","Small","Small"
"263",152,"Manhattan","Small","Small"
"264",172,"Manhattan","Small","Small"
"265",148,"Manhattan","Small","Small"
"266",56,"Manhattan","Small","Small"
"267",68,"Manhattan","Small","Small"
"268",112,"Manhattan","Small","Small"
"269",74,"Manhattan","Small","Small"
"270",112,"Manhattan","Small","Small"
"271",126,"Manhattan","Small","Small"
"272",136,"Manhattan","Small","Small"
"273",78,"Manhattan","Small","Small"
"274",28,"Manhattan","Small","Small"
"275",138,"Manhattan","Small","Small"
"276",126,"Manhattan","Small","Small"
"277",58,"Manhattan","Small","Small"
"278",120,"Manhattan","Small","Small"
"279",30,"Manhattan","Small","Small"
"280",38,"Manhattan","Small","Small"
"281",124,"Manhattan","Small","Small"
"282",42,"Manhattan","Small","Small"
"283",48,"Manhattan","Small","Small"
"284",186,"Manhattan","Small","Small"
"285",134,"Manhattan","Small","Small"
"286",110,"Manhattan","Small","Small"
"287",72,"Manhattan","Small","Small"
"288",172,"Manhattan","Small","Small"
"289",100,"Manhattan","Small","Small"
"290",38,"Manhattan","Small","Small"
"291",86,"Manhattan","Small","Small"
"292",86,"Manhattan","Small","Small"
"293",114,"Manhattan","Small","Small"
"294",128,"Manhattan","Small","Small"
"295",170,"Manhattan","Small","Small"
"296",126,"Manhattan","Small","Small"
"297",222,"Manhattan","Small","Small"
"298",42,"Manhattan","Small","Small"
"299",116,"Manhattan","Small","Small"
"300",210,"Manhattan","Small","Small"
"301",30,"Manhattan","Small","Small"
"302",18,"Manhattan","Small","Small"
"303",38,"Manhattan","Small","Small"
"304",126,"Manhattan","Small","Small"
"305",78,"Manhattan","Small","Small"
"306",20,"Manhattan","Small","Small"
"307",114,"Manhattan","Small","Small"
"308",116,"Manhattan","Small","Small"
"309",236,"Manhattan","Small","Small"
"310",68,"Manhattan","Small","Small"
"311",126,"Manhattan","Small","Small"
"312",78,"Manhattan","Small","Small"
"313",40,"Manhattan","Small","Small"
"314",66,"Manhattan","Small","Small"
"315",78,"Manhattan","Small","Small"
"316",180,"Manhattan","Small","Small"
"317",96,"Manhattan","Small","Small"
"318",100,"Manhattan","Small","Small"
"319",50,"Manhattan","Small","Small"
"320",180,"Manhattan","Small","Small"
"321",224,"Manhattan","Small","Small"
"322",64,"Manhattan","Small","Small"
"323",30,"Manhattan","Small","Small"
"324",96,"Manhattan","Small","Small"
"325",46,"Manhattan","Small","Small"
"326",234,"Manhattan","Small","Small"
"327",128,"Manhattan","Small","Small"
"328",96,"Manhattan","Small","Small"
"329",116,"Manhattan","Small","Small"
"330",116,"Manhattan","Small","Small"
"331",312,"Manhattan","Small","Small"
"332",32,"Manhattan","Small","Small"
"333",144,"Manhattan","Small","Small"
"334",56,"Manhattan","Small","Small"
"335",90,"Manhattan","Small","Small"
"336",80,"Manhattan","Small","Small"
"337",306,"Manhattan","Small","Small"
"338",182,"Manhattan","Small","Small"
"339",76,"Manhattan","Small","Small"
"340",140,"Manhattan","Small","Small"
"341",74,"Manhattan","Small","Small"
"342",54,"Manhattan","Small","Small"
"343",136,"Manhattan","Small","Small"
"344",66,"Manhattan","Small","Small"
"345",42,"Manhattan","Small","Small"
"346",106,"Manhattan","Small","Small"
"347",136,"Manhattan","Small","Small"
"348",82,"Manhattan","Small","Small"
"349",68,"Manhattan","Small","Small"
"350",104,"Manhattan","Small","Small"
"351",50,"Manhattan","Small","Small"
"352",50,"Manhattan","Small","Small"
"353",30,"Manhattan","Small","Small"
"354",70,"Manhattan","Small","Small"
"355",154,"Manhattan","Small","Small"
"356",164,"Manhattan","Small","Small"
"357",64,"Manhattan","Small","Small"
"358",62,"Manhattan","Small","Small"
"359",84,"Manhattan","Small","Small"
"360",74,"Manhattan","Small","Small"
"361",70,"Manhattan","Small","Small"
"362",180,"Manhattan","Small","Small"
"363",34,"Manhattan","Small","Small"
"364",190,"Manhattan","Small","Small"
"365",118,"Manhattan","Small","Small"
"366",204,"Manhattan","Small","Small"
"367",82,"Manhattan","Small","Small"
"368",166,"Manhattan","Small","Small"
"369",26,"Manhattan","Small","Small"
"370",30,"Manhattan","Small","Small"
"371",94,"Manhattan","Small","Small"
"372",34,"Manhattan","Small","Small"
"373",24,"Manhattan","Small","Small"
"374",22,"Manhattan","Small","Small"
"375",88,"Manhattan","Small","Small"
"376",48,"Manhattan","Small","Small"
"377",30,"Manhattan","Small","Small"
"378",60,"Manhattan","Small","Small"
"379",106,"Manhattan","Small","Small"
"380",122,"Manhattan","Small","Small"
"381",58,"Manhattan","Small","Small"
"382",50,"Manhattan","Small","Small"
"383",76,"Manhattan","Small","Small"
"384",178,"Manhattan","Small","Small"
"385",86,"Manhattan","Small","Small"
"386",90,"Manhattan","Small","Small"
"387",134,"Manhattan","Small","Small"
"388",96,"Manhattan","Small","Small"
"389",48,"Manhattan","Small","Small"
"390",134,"Manhattan","Small","Small"
"391",66,"Manhattan","Small","Small"
"392",40,"Manhattan","Small","Small"
"393",334,"Manhattan","Small","Small"
"394",86,"Manhattan","Small","Small"
"395",44,"Manhattan","Small","Small"
"396",46,"Manhattan","Small","Small"
"397",22,"Manhattan","Small","Small"
"398",94,"Manhattan","Small","Small"
"399",66,"Manhattan","Small","Small"
"400",98,"Manhattan","Small","Small"
"401",64,"Manhattan","Small","Small"
"402",42,"Manhattan","Small","Small"
"403",186,"Manhattan","Small","Small"
"404",258,"Manhattan","Small","Small"
"405",214,"Manhattan","Small","Small"
"406",58,"Manhattan","Small","Small"
"407",138,"Manhattan","Small","Small"
"408",124,"Manhattan","Small","Small"
"409",46,"Manhattan","Small","Small"
"410",38,"Manhattan","Small","Small"
"411",122,"Manhattan","Small","Small"
"412",94,"Manhattan","Small","Small"
"413",18,"Manhattan","Small","Small"
"414",128,"Manhattan","Small","Small"
"415",188,"Manhattan","Small","Small"
"416",36,"Manhattan","Small","Small"
"417",38,"Manhattan","Small","Small"
"418",238,"Manhattan","Small","Small"
"419",44,"Manhattan","Small","Small"
"420",42,"Manhattan","Small","Small"
"421",106,"Manhattan","Small","Small"
"422",46,"Manhattan","Small","Small"
"423",60,"Manhattan","Small","Small"
"424",56,"Manhattan","Small","Small"
"425",66,"Manhattan","Small","Small"
"426",56,"Manhattan","Small","Small"
"427",92,"Manhattan","Small","Small"
"428",122,"Manhattan","Small","Small"
"429",60,"Manhattan","Small","Small"
"430",234,"Manhattan","Small","Small"
"431",256,"Manhattan","Small","Small"
"432",170,"Manhattan","Small","Small"
"433",84,"Manhattan","Small","Small"
"434",106,"Manhattan","Small","Small"
"435",74,"Manhattan","Small","Small"
"436",160,"Manhattan","Small","Small"
"437",32,"Manhattan","Small","Small"
"438",64,"Manhattan","Small","Small"
"439",76,"Manhattan","Small","Small"
"440",44,"Manhattan","Small","Small"
"441",112,"Manhattan","Small","Small"
"442",100,"Manhattan","Small","Small"
"443",64,"Manhattan","Small","Small"
"444",266,"Manhattan","Small","Small"
"445",24,"Manhattan","Small","Small"
"446",90,"Manhattan","Small","Small"
"447",94,"Manhattan","Small","Small"
"448",38,"Manhattan","Small","Small"
"449",140,"Manhattan","Small","Small"
"450",28,"Manhattan","Small","Small"
"451",20,"Manhattan","Small","Small"
"452",48,"Manhattan","Small","Small"
"453",40,"Manhattan","Small","Small"
"454",62,"Manhattan","Small","Small"
"455",254,"Manhattan","Small","Small"
"456",46,"Manhattan","Small","Small"
"457",58,"Manhattan","Small","Small"
"458",184,"Manhattan","Small","Small"
"459",56,"Manhattan","Small","Small"
"460",82,"Manhattan","Small","Small"
"461",234,"Manhattan","Small","Small"
"462",216,"Manhattan","Small","Small"
"463",40,"Manhattan","Small","Small"
"464",160,"Manhattan","Small","Small"
"465",68,"Manhattan","Small","Small"
"466",156,"Manhattan","Small","Small"
"467",286,"Manhattan","Small","Small"
"468",44,"Manhattan","Small","Small"
"469",156,"Manhattan","Small","Small"
"470",84,"Manhattan","Small","Small"
"471",90,"Manhattan","Small","Small"
"472",50,"Manhattan","Small","Small"
"473",56,"Manhattan","Small","Small"
"474",184,"Manhattan","Small","Small"
"475",24,"Manhattan","Small","Small"
"476",96,"Manhattan","Small","Small"
"477",66,"Manhattan","Small","Small"
"478",60,"Manhattan","Small","Small"
"479",62,"Manhattan","Small","Small"
"480",80,"Manhattan","Small","Small"
"481",72,"Manhattan","Small","Small"
"482",54,"Manhattan","Small","Small"
"483",86,"Manhattan","Small","Small"
"484",74,"Manhattan","Small","Small"
"485",56,"Manhattan","Small","Small"
"486",74,"Manhattan","Small","Small"
"487",42,"Manhattan","Small","Small"
"488",28,"Manhattan","Small","Small"
"489",36,"Manhattan","Small","Small"
"490",28,"Manhattan","Small","Small"
"491",96,"Manhattan","Small","Small"
"492",26,"Manhattan","Small","Small"
"493",162,"Manhattan","Small","Small"
"494",44,"Manhattan","Small","Small"
"495",54,"Manhattan","Small","Small"
"496",36,"Manhattan","Small","Small"
"497",138,"Manhattan","Small","Small"
"498",96,"Manhattan","Small","Small"
"499",30,"Manhattan","Small","Small"
"500",64,"Manhattan","Small","Small"
"501",42,"Manhattan","Small","Small"
"502",120,"Manhattan","Small","Small"
"503",56,"Manhattan","Small","Small"
"504",140,"Manhattan","Small","Small"
"505",144,"Manhattan","Small","Small"
"506",52,"Manhattan","Small","Small"
"507",96,"Manhattan","Small","Small"
"508",56,"Manhattan","Small","Small"
"509",40,"Manhattan","Small","Small"
"510",26,"Manhattan","Small","Small"
"511",226,"Manhattan","Small","Small"
"512",72,"Manhattan","Small","Small"
"513",72,"Manhattan","Small","Small"
"514",92,"Manhattan","Small","Small"
"515",66,"Manhattan","Small","Small"
"516",72,"Manhattan","Small","Small"
"517",40,"Manhattan","Small","Small"
"518",86,"Manhattan","Small","Small"
"519",162,"Manhattan","Small","Small"
"520",28,"Manhattan","Small","Small"
"521",96,"Manhattan","Small","Small"
"522",164,"Manhattan","Small","Small"
"523",134,"Manhattan","Small","Small"
"524",88,"Manhattan","Small","Small"
"525",144,"Manhattan","Small","Small"
"526",82,"Manhattan","Small","Small"
"527",74,"Manhattan","Small","Small"
"528",126,"Manhattan","Small","Small"
"529",116,"Manhattan","Small","Small"
"530",156,"Manhattan","Small","Small"
"531",74,"Manhattan","Small","Small"
"532",80,"Manhattan","Small","Small"
"533",206,"Manhattan","Small","Small"
"534",174,"Manhattan","Small","Small"
"535",80,"Manhattan","Small","Small"
"536",76,"Manhattan","Small","Small"
"537",38,"Manhattan","Small","Small"
"538",152,"Manhattan","Small","Small"
"539",216,"Manhattan","Small","Small"
"540",246,"Manhattan","Small","Small"
"541",228,"Manhattan","Small","Small"
"542",116,"Manhattan","Small","Small"
"543",64,"Manhattan","Small","Small"
"544",70,"Manhattan","Small","Small"
"545",158,"Manhattan","Small","Small"
"546",82,"Manhattan","Small","Small"
"547",176,"Manhattan","Small","Small"
"548",28,"Manhattan","Small","Small"
"549",360,"Manhattan","Small","Small"
"550",66,"Manhattan","Small","Small"
"551",178,"Manhattan","Small","Small"
"552",146,"Manhattan","Small","Small"
"553",166,"Manhattan","Small","Small"
"554",146,"Manhattan","Small","Small"
"555",22,"Manhattan","Small","Small"
"556",66,"Manhattan","Small","Small"
"557",190,"Manhattan","Small","Small"
"558",112,"Manhattan","Small","Small"
"559",118,"Manhattan","Small","Small"
"560",138,"Manhattan","Small","Small"
"561",124,"Manhattan","Small","Small"
"562",52,"Manhattan","Small","Small"
"563",46,"Manhattan","Small","Small"
"564",108,"Manhattan","Small","Small"
"565",158,"Manhattan","Small","Small"
"566",50,"Manhattan","Small","Small"
"567",74,"Manhattan","Small","Small"
"568",18,"Manhattan","Small","Small"
"569",136,"Manhattan","Small","Small"
"570",48,"Manhattan","Small","Small"
"571",142,"Manhattan","Small","Small"
"572",168,"Manhattan","Small","Small"
"573",54,"Manhattan","Small","Small"
"574",98,"Manhattan","Small","Small"
"575",124,"Manhattan","Small","Small"
"576",244,"Manhattan","Small","Small"
"577",102,"Manhattan","Small","Small"
"578",132,"Manhattan","Small","Small"
"579",98,"Manhattan","Small","Small"
"580",26,"Manhattan","Small","Small"
"581",24,"Manhattan","Small","Small"
"582",120,"Manhattan","Small","Small"
"583",68,"Manhattan","Small","Small"
"584",28,"Manhattan","Small","Small"
"585",102,"Manhattan","Small","Small"
"586",196,"Manhattan","Small","Small"
"587",42,"Manhattan","Small","Small"
"588",72,"Manhattan","Small","Small"
"589",20,"Manhattan","Small","Small"
"590",40,"Manhattan","Small","Small"
"591",318,"Manhattan","Small","Small"
"592",30,"Manhattan","Small","Small"
"593",90,"Manhattan","Small","Small"
"594",48,"Manhattan","Small","Small"
"595",78,"Manhattan","Small","Small"
"596",86,"Manhattan","Small","Small"
"597",62,"Manhattan","Small","Small"
"598",130,"Manhattan","Small","Small"
"599",190,"Manhattan","Small","Small"
"600",158,"Manhattan","Small","Small"
"601",90,"Manhattan","Small","Small"
"602",42,"Manhattan","Small","Small"
"603",66,"Manhattan","Small","Small"
"604",22,"Manhattan","Small","Small"
"605",44,"Manhattan","Small","Small"
"606",34,"Manhattan","Small","Small"
"607",338,"Manhattan","Small","Small"
"608",74,"Manhattan","Small","Small"
"609",56,"Manhattan","Small","Small"
"610",200,"Manhattan","Small","Small"
"611",126,"Manhattan","Small","Small"
"612",68,"Manhattan","Small","Small"
"613",80,"Manhattan","Small","Small"
"614",208,"Manhattan","Small","Small"
"615",56,"Manhattan","Small","Small"
"616",34,"Manhattan","Small","Small"
"617",26,"Manhattan","Small","Small"
"618",46,"Manhattan","Small","Small"
"619",132,"Manhattan","Small","Small"
"620",100,"Manhattan","Small","Small"
"621",116,"Manhattan","Small","Small"
"622",214,"Manhattan","Small","Small"
"623",46,"Manhattan","Small","Small"
"624",152,"Manhattan","Small","Small"
"625",64,"Manhattan","Small","Small"
"626",86,"Manhattan","Small","Small"
"627",48,"Manhattan","Small","Small"
"628",64,"Manhattan","Small","Small"
"629",68,"Manhattan","Small","Small"
"630",160,"Manhattan","Small","Small"
"631",24,"Manhattan","Small","Small"
"632",58,"Manhattan","Small","Small"
"633",146,"Manhattan","Small","Small"
"634",104,"Manhattan","Small","Small"
"635",104,"Manhattan","Small","Small"
"636",148,"Manhattan","Small","Small"
"637",62,"Manhattan","Small","Small"
"638",106,"Manhattan","Small","Small"
"639",134,"Manhattan","Small","Small"
"640",22,"Manhattan","Small","Small"
"641",64,"Manhattan","Small","Small"
"642",74,"Manhattan","Small","Small"
"643",94,"Manhattan","Small","Small"
"644",78,"Manhattan","Small","Small"
"645",58,"Manhattan","Small","Small"
"646",184,"Manhattan","Small","Small"
"647",196,"Manhattan","Small","Small"
"648",108,"Manhattan","Small","Small"
"649",70,"Manhattan","Small","Small"
"650",108,"Manhattan","Small","Small"
"651",142,"Manhattan","Small","Small"
"652",120,"Manhattan","Small","Small"
"653",88,"Manhattan","Small","Small"
"654",204,"Manhattan","Small","Small"
"655",124,"Manhattan","Small","Small"
"656",110,"Manhattan","Small","Small"
"657",134,"Manhattan","Small","Small"
"658",190,"Manhattan","Small","Small"
"659",254,"Manhattan","Small","Small"
"660",40,"Manhattan","Small","Small"
"661",152,"Manhattan","Small","Small"
"662",230,"Manhattan","Small","Small"
"663",36,"Manhattan","Small","Small"
"664",98,"Manhattan","Small","Small"
"665",98,"Manhattan","Small","Small"
"666",68,"Manhattan","Small","Small"
"667",152,"Manhattan","Small","Small"
"668",48,"Manhattan","Small","Small"
"669",86,"Manhattan","Small","Small"
"670",102,"Manhattan","Small","Small"
"671",128,"Manhattan","Small","Small"
"672",38,"Manhattan","Small","Small"
"673",150,"Manhattan","Small","Small"
"674",254,"Manhattan","Small","Small"
"675",70,"Manhattan","Small","Small"
"676",50,"Manhattan","Small","Small"
"677",32,"Manhattan","Small","Small"
"678",140,"Manhattan","Small","Small"
"679",122,"Manhattan","Small","Small"
"680",32,"Manhattan","Small","Small"
"681",52,"Manhattan","Small","Small"
"682",70,"Manhattan","Small","Small"
"683",164,"Manhattan","Small","Small"
"684",48,"Manhattan","Small","Small"
"685",122,"Manhattan","Small","Small"
"686",110,"Manhattan","Small","Small"
"687",96,"Manhattan","Small","Small"
"688",130,"Manhattan","Small","Small"
"689",40,"Manhattan","Small","Small"
"690",106,"Manhattan","Small","Small"
"691",52,"Manhattan","Small","Small"
"692",104,"Manhattan","Small","Small"
"693",114,"Manhattan","Small","Small"
"694",132,"Manhattan","Small","Small"
"695",116,"Manhattan","Small","Small"
"696",98,"Manhattan","Small","Small"
"697",106,"Manhattan","Small","Small"
"698",20,"Manhattan","Small","Small"
"699",38,"Manhattan","Small","Small"
"700",92,"Manhattan","Small","Small"
"701",66,"Manhattan","Small","Small"
"702",76,"Manhattan","Small","Small"
"703",110,"Manhattan","Small","Small"
"704",94,"Manhattan","Small","Small"
"705",208,"Manhattan","Small","Small"
"706",42,"Manhattan","Small","Small"
"707",62,"Manhattan","Small","Small"
"708",42,"Manhattan","Small","Small"
"709",116,"Manhattan","Small","Small"
"710",146,"Manhattan","Small","Small"
"711",112,"Manhattan","Small","Small"
"712",86,"Manhattan","Small","Small"
"713",112,"Manhattan","Small","Small"
"714",54,"Manhattan","Small","Small"
"715",68,"Manhattan","Small","Small"
"716",82,"Manhattan","Small","Small"
"717",54,"Manhattan","Small","Small"
"718",20,"Manhattan","Small","Small"
"719",26,"Manhattan","Small","Small"
"720",38,"Manhattan","Small","Small"
"721",78,"Manhattan","Small","Small"
"722",78,"Manhattan","Small","Small"
"723",92,"Manhattan","Small","Small"
"724",126,"Manhattan","Small","Small"
"725",164,"Manhattan","Small","Small"
"726",88,"Manhattan","Small","Small"
"727",78,"Manhattan","Small","Small"
"728",128,"Manhattan","Small","Small"
"729",44,"Manhattan","Small","Small"
"730",70,"Manhattan","Small","Small"
"731",50,"Manhattan","Small","Small"
"732",128,"Manhattan","Small","Small"
"733",28,"Manhattan","Small","Small"
"734",232,"Manhattan","Small","Small"
